Tool_name,Tool_class,Subclass,Primary_function,Data_modalities,Biobank_usage,Evidence_type,Evidence_sources,Scale_reported,Compute_environment,Integration_layer,Typical_workflow_stage,Input_formats,Output_formats,Licensing,Runtime_scaling_notes,Accuracy_or_QC_notes,Last_seen_version,Notes,Study_IDs
SKAT,rare_burden,skat_gene,Kernel‑based rare variant association tests,WES;WGS,BBJ;NPBBD_Korea,benchmark_only,"PMID:xxxxxx",tens of thousands,HPC,,rare_burden,VCF;PLINK,region_level_stats,open_source,Less suited to 500k‑sample full cohort,,2.0.1,,BBJ_WES
SuSiE,fine_mapping,susie_finemap,Bayesian credible set fine‑mapping,summary_stats;LD_matrices,UKB;FinnGen,core_pipeline,"PMID:xxxxxx; GitHub:statgen/SuSiE",>3000 loci,HPC;cloud_AWS,Hail (LD prep),fine_mapping,summary_stats;LD,credible_sets,open_source,Linear in #SNP per locus; trivially parallelizable,,0.11.92,,UKB_GWAS_2018;FinnGen_R6
FINEMAP,fine_mapping,finemap_ss,Bayesian fine‑mapping using summary stats,summary_stats;LD_matrices,FinnGen;BBJ,core_pipeline,"PMID:xxxxxx",>10k loci,HPC,,fine_mapping,summary_stats;LD,credible_sets,free_academic,CPU‑intensive; locus‑parallelizable,,1.4,,FinnGen_R6
PRSice,PRS,prsice_score,PRS construction from GWAS summary statistics,summary_stats;genotyping_array,BBJ;PRECISE,core_pipeline,"PMID:xxxxxx; https://www.prsice.info/",>100k samples,HPC,,PRS,summary_stats;PLINK,PRS_scores,free_academic,IO‑bound when many thresholds,,2.3.5,,BBJ_PRS
LDpred2,PRS,ldpred2_ss,Bayesian PRS using LD and summary stats,summary_stats;LD;genotyping_array,UKB;FinnGen,benchmark_only,"PMID:xxxxxx",tens of thousands,HPC;R_env,,PRS,summary_stats;LD,PRS_scores,open_source,Scaling limited by LD matrix size,,1.0.0,,UKB_PRS
AoUPRS,PRS,aou_prs,PRS calculator tailored to All of Us,WES;WGS;genotyping_array;imputed_array,All_of_Us,core_pipeline,"PMCID:PMC12096765",>250k participants,cloud_GCP;cloud_AWS,Hail,PRS,MT;VDS,PRS_scores,open_source,Uses distributed Hail back‑end,Designed for multi‑ancestry cohorts,1.0.0,,AoU_v1
VEP,annotation,vep_consequence,Variant effect prediction and annotation,WES;WGS;genotyping_array,UKB;FinnGen;All_of_Us,core_pipeline,"https://www.ensembl.org/info/docs/tools/vep/index.html",>500k samples,HPC;cloud_AWS,,annotation,VCF,VCF;tabular_annotations,open_source,Chunked by chromosome; annotation cache heavy,,105,,Multiple
ANNOVAR,annotation,annovar_consequence,Gene‑based and region‑based variant annotation,WES;WGS,BBJ;NPBBD_Korea,core_pipeline,"PMID:xxxxxx",>100k samples,HPC,,annotation,VCF,tabular_annotations,academic_only,Relies on local databases,,2019Oct24,,BBJ_WES
PheWeb,portal_UI,pheweb_gwas,Interactive GWAS results browser,summary_stats,UKB;BBJ;FinnGen,core_pipeline,"https://github.com/statgen/pheweb",>10k phenotypes,cloud_AWS;HPC,,portal_visualization,summary_stats,web_portal,open_source,Static pre‑compute with dynamic queries,,1.3.0,,BBJ_PheWeb
Hail_Batch,workflow_engine,hail_batch,Cloud‑native job orchestration layer,all_modalities,UKB;All_of_Us,recommended_on_platform,"https://hail.is/docs/batch",thousands of jobs,cloud_AWS;cloud_GCP,Hail,workflow_engine,container_images,job_logs,open_source,Embarrassingly parallel job model,,0.5.0,,UKB_WGS_450k
Cromwell,workflow_engine,wdl_engine,WDL workflow execution engine,all_modalities,UKB;All_of_Us,core_pipeline,"https://github.com/broadinstitute/cromwell",large WES/WGS production,cloud_AWS;cloud_GCP;HPC,GATK,workflow_engine,WDL;Docker,logs,open_source,Used for Broad/biobank production pipelines,,85,,UKB_WES_200k;AoU_v1
Nextflow,workflow_engine,nextflow_engine,Pipeline orchestration engine,all_modalities,FinnGen;PRECISE,core_pipeline,"https://www.nextflow.io",large WGS/WES,HPC;cloud_AWS;cloud_GCP,,workflow_engine,Nextflow;Docker,logs,open_source,Good for containerized, modular workflows,,23.10,,FinnGen_R6
Eagle,phasing,eagle_phasing,Haplotype phasing of genotypes,genotyping_array;imputed_array,UKB;BBJ,core_pipeline,"PMID:xxxxxx",>400k samples,HPC,,phasing,PLINK;BGEN,phased_genotypes,free_academic,Fast multi‑threaded algorithm,,2.4,,UKB_GWAS_2017
SHAPEIT4,phasing,shapeit4_phasing,Haplotype phasing for WES/WGS,WES;WGS;genotyping_array,All_of_Us;NPBBD_Korea,core_pipeline,"PMID:xxxxxx",>200k genomes,HPC,,phasing,VCF,phased_VCF,free_academic,Better scaling than v2/v3,,4.2,,AoU_v1
Beagle5,imputation,beagle_impute,Dosage imputation from phased haplotypes,genotyping_array;WES,BBJ;NPBBD_Korea,core_pipeline,"PMID:xxxxxx",>150k samples,HPC,,imputation,phased_VCF,imputed_VCF,free_academic,Window‑based; memory‑aware,,5.2,,BBJ_GWAS_2020
ImputationServer,imputation,server_impute,Cloud imputation service (eg Michigan),genotyping_array,UKB;BBJ,core_pipeline,"https://imputationserver.sph.umich.edu",>1M samples aggregate,cloud_AWS,,imputation,VCF,imputed_VCF,free_academic,Externally hosted; queue‑based,,NA,,BBJ_GWAS_2020
Rye,ancestry_inference,biobank_ancestry,Ancestry inference for biobank scale,WES;WGS;genotyping_array,UKB;All_of_Us,benchmark_only,"PMCID:PMC7079633",>400k samples,HPC,,ancestry_inference,genetic_PCs;genotypes,ancestry_proportions,open_source,Designed to scale with 100k+ samples,,1.0.0,,UKB_ancestry
ADMIXTURE,ancestry_inference,unsupervised_admixture,Clustering‑based ancestry estimation,genotyping_array;imputed_array,UKB;BBJ,benchmark_only,"PMID:xxxxxx",>100k samples,HPC,,ancestry_inference,PLINK,ancestry_proportions,open_source,Scales O(NK) per iteration,,1.3.0,,UKB_GWAS_2017
PC-AiR,population_structure,pca_related,PCA robust to relatedness,genotyping_array;imputed_array,All_of_Us;NPBBD_Korea,benchmark_only,"PMID:xxxxxx",>50k samples,HPC,,population_structure,PLINK;VCF,PCs,open_source,More complex than plain PCA,,1.0.0,,AoU_pilot
KING_IBD,relatedness_IBD,ibd_segments,IBD segment inference,genotyping_array,All_of_Us;FinnGen,benchmark_only,"PMID:xxxxxx",>100k samples,HPC,,relatedness_IBD,PLINK,IBD_segments,open_source,Scaling requires chromosome splitting,,2.2.6,,FinnGen_R6
IBDseq,relatedness_IBD,ibdseq_segments,IBD segment detection,genotyping_array;imputed_array,UKB,benchmark_only,"PMID:xxxxxx",>100k samples,HPC,,relatedness_IBD,PLINK,IBD_segments,open_source,Designed for GWAS data,,r1206,,UKB_relatedness

